编号,二级目录类型,三级目录类型,四级目录类型,关卡id,备注科目名称
id,sec_name,third_name,for_name,chapter_id,chapter_name
1,guide_mode,,,,
2,operation_mode,gas_power_gen,gas_power_gen_1,7,燃气发电机-检查燃料管路
3,operation_mode,gas_power_gen,gas_power_gen_2,8,燃气发电机-开启燃气管道阀门
4,operation_mode,gas_power_gen,gas_power_gen_3,9,燃气发电机-操作调压阀
5,operation_mode,gas_power_gen,gas_power_gen_4,1,燃气发电机-上电前检查操作
6,operation_mode,gas_power_gen,gas_power_gen_5,2,燃气发电机-直流屏上电操作
7,operation_mode,gas_power_gen,gas_power_gen_6,3,燃气发电机-MCC柜操作
8,operation_mode,gas_power_gen,gas_power_gen_7,4,燃气发电机-燃机及市电控制柜操作
9,operation_mode,gas_power_gen,gas_power_gen_8,5,燃气发电机-高压开关柜操作
10,operation_mode,gas_power_gen,gas_power_gen_9,6,燃气发电机-机组电气控制柜操作
11,operation_mode,gas_power_gen,gas_power_gen_10,10,燃气发电机-启动前的巡检
12,operation_mode,gas_power_gen,gas_power_gen_11,11,燃气发电机-机组本地启动操作准备工作
13,operation_mode,gas_power_gen,gas_power_gen_12,12,燃气发电机-机组远程启动操作准备工作
14,operation_mode,gas_power_gen,gas_power_gen_13,13,燃气发电机-机组本地启动
15,operation_mode,gas_power_gen,gas_power_gen_14,14,燃气发电机-机组远程启动
16,operation_mode,gas_power_gen,gas_power_gen_15,c1002_7|8|9,接通燃气操作
17,operation_mode,gas_power_gen,gas_power_gen_16,c1001_1|2|3|4|5|6,燃气发电机组上电操作
18,operation_mode,gas_power_gen,gas_power_gen_17,c1003_10|11|13,燃气发电机组本地启动
19,operation_mode,gas_power_gen,gas_power_gen_18,c1004_10|12|14,燃气发电机组远程启动
20,operation_mode,medium_voltage,medium_voltage_1,31,35kV高压配电房-合闸操作
21,operation_mode,medium_voltage,medium_voltage_2,29,10kV配电房-合闸操作
22,operation_mode,medium_voltage,medium_voltage_3,17,10kV配电房-电源分配箱操作流程
23,operation_mode,medium_voltage,medium_voltage_4,16,VFD房-综合控制箱操作流程
24,operation_mode,medium_voltage,medium_voltage_5,28,VFD房-传动主回路上电前检查
25,operation_mode,medium_voltage,medium_voltage_6,18,ABB变频器-传动单元控制电源上电流程
26,operation_mode,medium_voltage,medium_voltage_7,19,ABB变频器-CDP控制盘启动操作
27,operation_mode,medium_voltage,medium_voltage_8,20,ABB变频器-CDP控制盘信号模式状态
28,operation_mode,medium_voltage,medium_voltage_9,22,ABB变频器-CDP控制盘当前故障及复位
29,operation_mode,medium_voltage,medium_voltage_10,21,ABB变频器-CDP控制盘历史故障及复位
30,operation_mode,medium_voltage,medium_voltage_11,23,ABB变频器-CDP控制盘参数设置模式
31,operation_mode,medium_voltage,medium_voltage_12,24,ABB变频器-CDP控制盘参数锁定
32,operation_mode,medium_voltage,medium_voltage_13,25,ABB变频器-CDP控制盘控制电机运行
33,operation_mode,medium_voltage,medium_voltage_14,26,VFD房-变频传动正常断电
34,operation_mode,medium_voltage,medium_voltage_15,27,VFD房-变频传动紧急断电
35,operation_mode,medium_voltage,medium_voltage_16,30,10kV配电房-分闸操作
36,operation_mode,medium_voltage,medium_voltage_17,32,35kV高压配电房-分闸操作
37,operation_mode,medium_voltage,medium_voltage_18,c1101_19|20|21|22|23|24|25,CDP控制盘的基础操作
38,operation_mode,medium_voltage,medium_voltage_19,c1102_29|30,10kV房分合闸操作
39,operation_mode,medium_voltage,medium_voltage_20,c1102_31|32,35kV房分合闸操作
40,debug_mode,inside_debug,inside_debug_1,11,燃气发电机-机组本地启动操作准备工作
41,debug_mode,inside_debug,inside_debug_2,12,燃气发电机-机组远程启动操作准备工作
42,debug_mode,inside_debug,inside_debug_3,16,15kV配电房-综合控制箱操作流程
43,debug_mode,inside_debug,inside_debug_4,17,VFD房-电源分配箱操作流程
44,debug_mode,inside_debug,inside_debug_5,18,ABB变频器-传动单元控制电源上电流程
45,debug_mode,inside_debug,inside_debug_6,19,ABB变频器-CDP控制盘启动操作
46,debug_mode,inside_debug,inside_debug_7,20,ABB变频器-CDP控制盘信号模式状态
47,debug_mode,inside_debug,inside_debug_8,22,ABB变频器-CDP控制盘当前故障及复位
48,debug_mode,inside_debug,inside_debug_9,21,ABB变频器-CDP控制盘历史故障及复位
49,debug_mode,inside_debug,inside_debug_10,23,ABB变频器-CDP控制盘参数设置模式
50,debug_mode,inside_debug,inside_debug_11,24,ABB变频器-CDP控制盘参数锁定
51,debug_mode,inside_debug,inside_debug_12,25,ABB变频器-CDP控制盘控制电机运行
52,debug_mode,inside_debug,inside_debug_13,26,VFD房-变频传动正常断电
53,debug_mode,inside_debug,inside_debug_14,27,VFD房-变频传动紧急断电
54,safetyedu_mode,wear_edu,,,
55,maintain_mode,beng_check,beng_check_1,33,检泵前准备
57,maintain_mode,beng_check,beng_check_2,35,拆卸检修排出阀体
58,maintain_mode,beng_check,beng_check_3,36,拆卸检修吸入阀体
59,maintain_mode,beng_check,beng_check_4,37,拆卸检修吸入排出阀座
60,maintain_mode,beng_check,beng_check_5,38,拆卸检修柱塞盘根
61,maintain_mode,beng_setup,beng_setup_1,39,泵的柱塞盘根安装
62,maintain_mode,beng_setup,beng_setup_2,40,泵的阀座安装
63,maintain_mode,beng_setup,beng_setup_3,41,泵的吸入阀安装
64,maintain_mode,beng_setup,beng_setup_4,42,泵的排出阀安装
65,maintain_mode,connect,connect_1,43,三相三线高供高计
66,maintain_mode,connect,connect_2,44,三相四线高供低计
67,transport_mode,,,,
68,fault_mode,fault_check,fault_check_1,15,燃气发电机控制房MCC柜故障
