编号,中文名称,其他语言名称,中文介绍,中文语音,其他语言介绍,其他语言语音
m_id,m_ch_name,m_en_name,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
100,线缆链接情况,,,,,
101,温度表,,,,,
102,湿度表,,,,,
103,一号发电机开关柜断路器,,,,,
104,二号发电机开关柜断路器,,,,,
105,三号发电机开关柜断路器,,,,,
106,四号发电机开关柜断路器,,,,,
107,高压区域房门,,,,,
108,熔断器把手工具,,,,,
111,熔断器,,,,,
112,powersun-s3电池电压,,,,,
113,powersun-s3电池电流,,,,,
114,powersun-s3控母电压,,,,,
115,powersun-s3控母电流,,,,,
116,指针式直流电流,,,,,
117,指针式控母电压,,,,,
118,断路器2QF,,,,,
119,辅助400v电源,,,,,
120,控母电源1,,,,,
121,控母电源2,,,,,
122,控母电源3,,,,,
123,高压室开关控制柜电源,,,,,
124,控母电源4,,,,,
125,燃机控制柜综合测量模块,,,,,
126,24v电源断路器,,,,,
127,市电及燃机控制柜进线电源,,,,,
302,柜门,,,,,
303,故障,,,,,
304,备用,,,,,
305,24v电源,,,,,
306,并网,,,,,
307,报警,,,,,
308,显示屏,,,,,
309,AGC模块开关,,,,,
310,急停,,,,,
311,故障复位,,,,,
312,电压调节,,,,,
313,PLC,,,,,
314,交换机,,,,,
315,断路器QF1,,,,,
316,断路器QF3,,,,,
317,断路器QF4,,,,,
318,断路器QF5,,,,,
319,断路器QF6,,,,,
320,断路器QF10,,,,,
321,低压室照明,,,,,
322,高压室照明,,,,,
402,柜门,,,,,
403,故障,,,,,
404,备用,,,,,
405,24v电源,,,,,
406,并网,,,,,
407,报警,,,,,
408,显示屏,,,,,
409,AGC模块开关,,,,,
410,急停,,,,,
411,故障复位,,,,,
412,电压调节,,,,,
413,综合测量模块,,,,,
414,AGC模块频率,,,,,
415,AGC模块电压,,,,,
416,AGC模块title,,,,,
417,远程本地控制旋钮,,,,,
505,2号发电机24v电源,,,,,
513,2号发电机综合测量模块,,,,,
605,3号发电机24v电源,,,,,
613,3号发电机综合测量模块,,,,,
705,4号发电机24v电源,,,,,
713,4号发电机综合测量模块,,,,,
902,1号燃气机管路连接处,,,,,
903,2号燃气机管路连接处,,,,,
904,3号燃气机管路连接处,,,,,
905,总进气阀门,,,,,
906,1-3#总阀门,,,,,
907,1#燃气机进气阀门,,,,,
908,2#燃气机进气阀门,,,,,
909,3#燃气机进气阀门,,,,,
1002,1号燃气机1号进气压力表,,,,,
1003,1号燃气机2号进气压力表,,,,,
1004,1号燃气机3号进气压力表,,,,,
1005,进气压力表1的查看按钮,,,,,
1006,进气压力表2的查看按钮,,,,,
1007,进气压力表3的查看按钮,,,,,
1008,调压阀的护罩,,,,,
1009,调压阀的拉杆,,,,,
1010,调压阀的球阀,,,,,
1011,调压阀,,,,,
1012,控制电源钥匙,,,,,
1013,电源转接箱1开关,,,,,
1014,电源转接箱2开关,,,,,
1015,电源转接箱3开关,,,,,
1016,电源转接箱4开关,,,,,
1017,发电机显示屏,,,,,
1018,燃气机控制选择,,,,,
1019,怠速、额定选择开关,,,,,
1020,发电机1功率,,,,,
1021,发电机1发电量,,,,,
1022,发电机1电池电压,,,,,
1023,发电机1运行时长,,,,,
1024,发电机1转速,,,,,
1028,发电机1频率,,,,,
1029,发电机1电流,,,,,
1033,发电机1缸套水温,,,,,
1034,发电机1蓄电池电压,,,,,
1035,发电机1预润滑油泵压力,,,,,
1038,发电机1空滤,,,,,
1039,发电机1冷却水管,,,,,
1040,发电机1油尺,,,,,
1102,2号燃气机1号进气压力表,,,,,
1103,2号燃气机2号进气压力表,,,,,
1104,2号燃气机3号进气压力表,,,,,
1120,发电机2功率,,,,,
1121,发电机2发电量,,,,,
1122,发电机2电池电压,,,,,
1123,发电机2运行时长,,,,,
1124,发电机2转速,,,,,
1128,发电机2频率,,,,,
1129,发电机2电流,,,,,
1133,发电机2缸套水温,,,,,
1134,发电机2蓄电池电压,,,,,
1135,发电机2预润滑油泵压力,,,,,
1138,发电机2空滤,,,,,
1139,发电机2冷却水管,,,,,
1140,发电机2油尺,,,,,
1202,3号燃气机1号进气压力表,,,,,
1203,3号燃气机2号进气压力表,,,,,
1204,3号燃气机3号进气压力表,,,,,
1220,发电机3功率,,,,,
1221,发电机3发电量,,,,,
1222,发电机3电池电压,,,,,
1223,发电机3运行时长,,,,,
1224,发电机3转速,,,,,
1228,发电机3频率,,,,,
1229,发电机3电流,,,,,
1233,发电机3缸套水温,,,,,
1234,发电机3蓄电池电压,,,,,
1235,发电机3预润滑油泵压力,,,,,
1238,发电机3空滤,,,,,
1239,发电机3冷却水管,,,,,
1240,发电机3油尺,,,,,
1302,显示屏,,,,,
1303,远程本地控制旋钮,,,,,
1304,开关柜链接控制上,,,,,
1305,开关柜链接控制下,,,,,
1306,电流表1,,,,,
1307,电流表2,,,,,
1308,电流表3,,,,,
1309,电压表,,,,,
1310,摇把控制端路器,,,,,
1402,显示屏,,,,,
1404,开关柜链接控制上,,,,,
1405,开关柜链接控制下,,,,,
1502,显示屏,,,,,
1504,开关柜链接控制上,,,,,
1505,开关柜链接控制下,,,,,
1602,显示屏,,,,,
1604,开关柜链接控制上,,,,,
1605,开关柜链接控制下,,,,,
1702,显示屏,,,,,
1704,开关柜链接控制上,,,,,
1705,开关柜链接控制下,,,,,
1802,显示屏,,,,,
1803,开关柜链接控制上,,,,,
1804,开关柜链接控制下,,,,,
2002,显示屏,,,,,
2004,开关柜链接控制上,,,,,
2005,开关柜链接控制下,,,,,
2202,显示屏,,,,,
2204,开关柜链接控制上,,,,,
2205,开关柜链接控制下,,,,,
2206,电压表,,,,,
2207,摇把控制端路器,,,,,
2302,摇把,,,,,
2303,VFD房变频传动单元摇把,,,,,
2304,10kv房间旋钮钥匙,,,,,
2305,10kv房旋转杆,,,,,
2402,cdp屏幕,,,,,
2501,控制柜门,,,,,
2502,S1,,,,,
2503,S2,,,,,
2504,S3,,,,,
2505,plc灯组1,,,,,
2506,plc灯组2,,,,,
2507,ui灯,,,,,
2508,断路器QF1,,,,,
2509,断路器QF2,,,,,
2510,断路器QF3,,,,,
2511,断路器QF4,,,,,
2512,断路器QF5,,,,,
2513,断路器QF6,,,,,
2514,KA1,,,,,
2515,插线板指示灯,,,,,
2516,风机,,,,,
2517,检修插线板电源指示灯,,,,,
2601,合断路器Q1,,,,,
2602,合断路器QF1,,,,,
2603,合断路器QF2,,,,,
2701,熔断隔离刀闸Q1001,,,,,
2702,断路器Q1002,,,,,
2703,断路器Q1003,,,,,
2704,断路器Q1041 ,,,,,
2705,断路器Q1042,,,,,
2706,断路器Q1043,,,,,
2707,断路器Q1071,,,,,
2708,断路器Q1072 ,,,,,
2709,断路器Q5001,,,,,
2710,断路器Q5002,,,,,
2711,断路器Q5003,,,,,
2712,断路器Q5004,,,,,
2713,断路器Q5031,,,,,
2714,断路器Q5032,,,,,
2715,变频传动单元控制柜指示灯,,,,,
2716,变频传动单元控制柜操作面板,,,,,
2717,控制柜按钮supplyoff,,,,,
2718,急停按钮,,,,,
2719,emergency指示灯,,,,,
2720,接地开关,,,,,
2721,控制柜按钮supplyoff,,,,,
2800,1#进线柜,,,,,
2801,合闸指示灯,,,,,
2802,分闸指示灯,,,,,
2803,备用指示灯,,,,,
2804,储能指示灯,,,,,
2805,远程本地切换旋钮,,,,,
2806,分闸合闸切换旋钮,,,,,
2807,储能旋钮,,,,,
2808,三相指示灯A,,,,,
2809,三相指示灯B,,,,,
2810,三相指示灯C,,,,,
2811,进电电源,,,,,
2812,隔离开关,,,,,
2813,储能开关,,,,,
2814,分闸开关,,,,,
2815,合闸开关,,,,,
2816,真空断路器,,,,,
2817,真空断路器,,,,,
2901,分合闸开关,,,,,
2902,手车,,,,,
2903,手车摇把,,,,,
2904,左边拉手,,,,,
2905,右边拉手,,,,,
2906,地刀,,,,,
2907,地刀摇把,,,,,
2908,柜门,,,,,
2909,分合闸指示灯,,,,,
3002,联络柜的摇把断路器,,,,,
4001,吸入压帽,,,,,
4002,吸入压盖,,,,,
4003,弹簧固定座,,,,,
4004,弹簧,,,,,
4005,阀盘,,,,,
4007,手柄工具2,,,,,
4009,摇入类工具,,,,,
4011,T形工具,,,,,
4012,阀座拔出器,,,,,
4013,阀座1（排出）,,,,,
4014,阀座2（吸入）,,,,,
4015,阀盘（排出）,,,,,
4016,弹簧（排出）,,,,,
4017,压盖（排出）,,,,,
4018,压帽（排出）,,,,,
4019,卡箍1,,,,,
4020,卡箍2,,,,,
4021,柱塞压帽,,,,,
4022,胶圈,,,,,
4023,柱塞,,,,,
4024,盘根组件,,,,,
4027,旋碟阀1,,,,,
4028,旋碟阀2,,,,,
4029,旋塞阀,,,,,
4032,柱子工具,,,,,
4033,柱塞顶入工具,,,,,
5001,电线接口1,,,,,
5002,电线接口2,,,,,
5003,电线接口3,,,,,
5004,电线接口4,,,,,
